Nome,Preço,Link,Imagem,Cor,Categoria_Principal,Subcategoria,Descricao
"Top Canelado, Mulher, Cinzento",12.99,https://mo-online.com/pt/top-canelado-mulher-cinzento-/000041152256020.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw001492b0/images/hires/ad82dcf3-30e9-4ef8-b616-bd54fd94c1f7.jpg?sw=1080&sh=1388,Cinzento,T-shirts,Tops,"Top Canelado, Mulher, Cinzento T-shirts Tops"
"Calças, Mulher, Cinzento Escuro",22.99,https://mo-online.com/pt/calcas-mulher-cinzento-escuro/000041152284010.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb2e5488f/images/hires/024263ca-c177-4ddc-8bba-72cc77ecc482.jpg?sw=1080&sh=1388,Cinzento Escuro,Calças,Leggings,"Calças, Mulher, Cinzento Escuro Leggings"
"Saia-Calção com Lantejoulas, Mulher, Cinzento",19.99,https://mo-online.com/pt/saia-calcao-com-lantejoulas-mulher-cinzento/000041152273020.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwad9d1963/images/hires/ed9f6734-d816-41d6-a4e3-367cfabd5bd9.jpg?sw=1080&sh=1388,Cinzento,Saias,Calções,"Saia-Calção com Lantejoulas, Mulher, Cinzento Saias Calções"
"T-shirt Estampada, Mulher, Branco",9.99,https://mo-online.com/pt/t-shirt-estampada-mulher-branco-/000041152247041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwefd21fd1/images/hires/604408ee-70d3-4184-86f6-39432aa51f68.jpg?sw=1080&sh=1388,Branco,T-shirts,Tops,"T-shirt Estampada, Mulher, Branco T-shirts Tops"
"Casaco Malha Tricotada, Mulher, Cru",19.99,https://mo-online.com/pt/casaco-malha-tricotada-mulher-cru/000041152817041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw496095eb/images/hires/634c9366-ed80-400c-a4e3-2b1cbab02298.jpg?sw=1080&sh=1388,Cru,Malhas,,"Casaco Malha Tricotada, Mulher, Cru Malhas"
"Mini Saia de Ganga, Mulher, Azul Claro",17.99,https://mo-online.com/pt/mini-saia-de-ganga-mulher-azul-claro/000041152265022.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc6a6efeb/images/hires/34dfb2d0-a917-4d86-ab67-0583a155051c.jpg?sw=1080&sh=1388,Azul Claro,Saias,Calções,"Mini Saia de Ganga, Mulher, Azul Claro Saias Calções"
"Kimono Estampado, Mulher, Rosa",17.99,https://mo-online.com/pt/kimono-estampado-mulher-rosa/000041152264038.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4809dd80/images/hires/64632014-e489-4056-96ca-ab53c1419cd6.jpg?sw=1080&sh=1388,Rosa,Casacos,Blusões,"Kimono Estampado, Mulher, Rosa Casacos Blusões"
"T-shirt Estampada, Mulher, Cinzento",9.99,https://mo-online.com/pt/t-shirt-estampada-mulher-cinzento-/000041152247020.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4f2e0fbd/images/hires/553b1036-dbe7-45f2-ba2b-63eaeff53b43.jpg?sw=1080&sh=1388,Cinzento,T-shirts,Tops,"T-shirt Estampada, Mulher, Cinzento T-shirts Tops"
"Fato de Banho, Mulher, Preto",22.99,https://mo-online.com/pt/fato-de-banho-mulher-preto/000041152413002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw8aced736/images/hires/718c412c-03f6-42c4-8678-d23aaf667da5.jpg?sw=1080&sh=1388,Preto,Novo,,"Fato de Banho, Mulher, Preto Novo"
"Top Jersey, Mulher, Verde Claro",3.99,https://mo-online.com/pt/top-jersey-mulher-verde-claro/000041152262026.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw86d85d7f/images/hires/74c1ae5f-4a6c-4cfa-8b12-299021b6ce31.jpg?sw=1080&sh=1388,Verde Claro,T-shirts,Tops,"Top Jersey, Mulher, Verde Claro T-shirts Tops"
